k,pass_at_k,inchikey_match_at_k,can_smiles_match_at_k,avg_best_tanimoto_at_k,valid_rate_at_k,all_correct_at_k,all_wrong_at_k,mean_reward_at_k,std_reward_at_k,cv_reward_at_k,max_reward_at_k,min_reward_at_k,range_reward_at_k
1,0.3,0.3,0.3,0.4576303729743008,0.73,0.3,0.7,1.6788151864871506,0.0,0.0,1.6788151864871506,1.6788151864871506,0.0
2,0.36,0.36,0.36,0.5175025052475336,0.695,0.27,0.64,1.7007822046467658,0.09796904797700097,0.053470010839488935,1.7987512526237668,1.6028131566697648,0.19593809595400194
4,0.39,0.39,0.39,0.5515823901693345,0.6975,0.24,0.61,1.6851553982462986,0.14713632140183727,0.08252135666361761,1.8607911950846674,1.5315236330450455,0.32926756203962165
8,0.48,0.48,0.48,0.6499274810888026,0.69625,0.21,0.52,1.7186155455658723,0.21391969209996503,0.12764646302225488,2.0449637405444014,1.4617421585082924,0.5832215820361091
16,0.49,0.49,0.49,0.6609297126942464,0.699375,0.17,0.51,1.7179234558394054,0.2336014656733086,0.13399531888977248,2.0654648563471234,1.371084827092079,0.6943800292550445
