k,pass_at_k,inchikey_match_at_k,can_smiles_match_at_k,avg_best_tanimoto_at_k,valid_rate_at_k,all_correct_at_k,all_wrong_at_k,mean_reward_at_k,std_reward_at_k,cv_reward_at_k,max_reward_at_k,min_reward_at_k,range_reward_at_k
1,0.0,0.0,0.0,0.12414571307327062,0.46,0.0,1.0,1.0620728565366355,0.0,0.0,1.0620728565366355,1.0620728565366355,0.0
2,0.0,0.0,0.0,0.15321236010907052,0.46,0.0,1.0,1.0592104373077034,0.017395742746832005,0.015491320532163075,1.0766061800545352,1.0418146945608715,0.03479148549366401
4,0.0,0.0,0.0,0.19589277661918023,0.4725,0.0,1.0,1.0596369450549392,0.030449322997424248,0.027495238203429525,1.0979463883095901,1.0260409044416487,0.07190548386794134
8,0.0,0.0,0.0,0.22133377546025595,0.44875,0.0,1.0,1.0577798911183949,0.034236412404207314,0.03102666838469749,1.1106668877301278,1.018688850326286,0.09197803740384197
16,0.01,0.01,0.01,0.25042573507646126,0.45625,0.0,0.99,1.0609523476120453,0.0403792516449226,0.03624343926876875,1.1402128675382306,1.0123609842583325,0.12785188327989794
