model_name,num_samples,gt_valid_ratio,pred_valid_ratio,em_ratio,can_smiles_match_ratio,inchikey_match_ratio,tanimoto_sim_mean,tanimoto_sim_std
qwen3_4b_i,876.0,1.0,0.1815068493150685,0.0,0.03767123287671233,0.03767123287671233,0.05428958602564506,0.2031440016864573
qwen3_4b_i_sft_lora_conversion,876.0,1.0,0.3767123287671233,0.005707762557077625,0.005707762557077625,0.005707762557077625,0.08002528529541938,0.1537020115577649
qwen3_vl_4b_i,876.0,1.0,0.16552511415525115,0.0,0.07534246575342465,0.07534246575342465,0.0967396471244338,0.27755948964924404
qwen3_vl_4b_i_sft_lora_conversion,876.0,1.0,0.4372146118721461,0.012557077625570776,0.012557077625570776,0.012557077625570776,0.1065976647458078,0.18692197315549577
qwen3_vl_4b_i_sft_lora_ocr,876.0,1.0,0.19406392694063926,0.001141552511415525,0.05136986301369863,0.05251141552511415,0.08182850200256206,0.2487984016427343
