_parse_status,num_samples,gt_valid_ratio,pred_valid_ratio,em_ratio,can_smiles_match_ratio,inchikey_match_ratio,tanimoto_sim_mean,tanimoto_sim_std
pred_failed,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
success,15.0,1.0,1.0,0.0,0.0,0.0,0.2681696732795234,0.2578737620776829
