model_name,num_samples,gt_valid_ratio,pred_valid_ratio,em_ratio,can_smiles_match_ratio,inchikey_match_ratio,tanimoto_sim_mean,tanimoto_sim_std
qwen3_4b_i,876.0,1.0,0.20319634703196346,0.0,0.0319634703196347,0.0319634703196347,0.044718304762943556,0.18419453692454413
qwen3_4b_i_sft_lora_conversion,876.0,1.0,0.4554794520547945,0.07077625570776255,0.07077625570776255,0.07191780821917808,0.16276986480489933,0.28276958159746735
qwen3_vl_4b_i,876.0,1.0,0.1324200913242009,0.001141552511415525,0.05365296803652968,0.05365296803652968,0.06695936581696092,0.2319636219016861
qwen3_vl_4b_i_sft_lora_conversion,876.0,1.0,0.91324200913242,0.773972602739726,0.773972602739726,0.773972602739726,0.8180245100454873,0.3578832516220237
qwen3_vl_4b_i_sft_lora_ocr,876.0,1.0,0.17009132420091325,0.0,0.05136986301369863,0.05136986301369863,0.0725667353007651,0.23423503267570359
