k,pass_at_k,inchikey_match_at_k,can_smiles_match_at_k,avg_best_tanimoto_at_k,valid_rate_at_k,all_correct_at_k,all_wrong_at_k,mean_reward_at_k,std_reward_at_k,cv_reward_at_k,max_reward_at_k,min_reward_at_k,range_reward_at_k
1,0.02,0.02,0.02,0.22304716090360166,0.59,0.02,0.98,1.1415235804518007,0.0,0.0,1.1415235804518007,1.1415235804518007,0.0
2,0.03,0.03,0.03,0.26306377322622576,0.59,0.02,0.97,1.1482391363335787,0.02829275027953405,0.021553400232087315,1.176531886613113,1.1199463860540448,0.0565855005590681
4,0.04,0.04,0.04,0.2785214629441365,0.5675,0.02,0.96,1.1388278332100137,0.04614584192993763,0.03596128895496387,1.1992607314720682,1.090435839120571,0.10882489235149728
8,0.04,0.04,0.04,0.30350207092968623,0.5625,0.01,0.96,1.1359060647505645,0.05288955427508669,0.040235834058369196,1.211751035464843,1.0654183884870232,0.14633264697781992
16,0.04,0.04,0.04,0.3286921671430541,0.5675,0.01,0.96,1.1332041388064915,0.05228042349373053,0.04192308250466969,1.224346083571527,1.0558636129989465,0.16848247057258056
