model_name,num_samples,gt_valid_ratio,pred_valid_ratio,em_ratio,can_smiles_match_ratio,inchikey_match_ratio,tanimoto_sim_mean,tanimoto_sim_std
qwen3_4b_i,875.0,1.0,0.2022857142857143,0.0,0.04,0.04,0.06013611168415135,0.21387176426460355
qwen3_4b_i_sft_lora_conversion,875.0,1.0,0.9074285714285715,0.7508571428571429,0.7508571428571429,0.7508571428571429,0.8088124833377307,0.36261739749817445
qwen3_vl_4b_i,875.0,1.0,0.16914285714285715,0.001142857142857143,0.07085714285714285,0.07085714285714285,0.09097408774849669,0.2695179100645537
qwen3_vl_4b_i_grpo_lora_from_sft_lora_ocr_conversion,875.0,1.0,0.8068571428571428,0.5188571428571429,0.5188571428571429,0.5188571428571429,0.612916186270589,0.44383269607918
qwen3_vl_4b_i_sft_lora_conversion,875.0,1.0,0.8937142857142857,0.7085714285714285,0.7085714285714285,0.7085714285714285,0.7768623510430581,0.3802125226285012
qwen3_vl_4b_i_sft_lora_ocr,875.0,1.0,0.25485714285714284,0.0,0.05028571428571429,0.05028571428571429,0.09337100399452439,0.2440988829971735
qwen3_vl_4b_i_sft_lora_ocr_conversion,875.0,1.0,0.912,0.7314285714285714,0.7314285714285714,0.7314285714285714,0.801807636574062,0.3628543165705749
