k,pass_at_k,inchikey_match_at_k,can_smiles_match_at_k,avg_best_tanimoto_at_k,valid_rate_at_k,all_correct_at_k,all_wrong_at_k,mean_reward_at_k,std_reward_at_k,cv_reward_at_k,max_reward_at_k,min_reward_at_k,range_reward_at_k
1,0.49035025017869904,0.49035025017869904,0.49035025017869904,0.5791052947308889,0.730807719799857,0.49035025017869904,0.509649749821301,2.025078022633493,0.0,0.0,2.025078022633493,2.025078022633493,0.0
2,0.5927090779127948,0.5927090779127948,0.592566118656183,0.6817107447560439,0.7285203716940671,0.37641172265904216,0.40729092208720513,2.014205689699142,0.2156891064431072,0.1095211375400856,2.2298947961422493,1.7985165832560348,0.4313782128862144
4,0.677626876340243,0.677626876340243,0.677626876340243,0.7579747773105627,0.7304503216583274,0.277626876340243,0.32237312365975695,2.010587379854555,0.35437407503471335,0.18258093285738078,2.3954277031656463,1.600918607343711,0.7945090958219349
8,0.7469621157969979,0.7469621157969979,0.7469621157969979,0.8167600367898212,0.7328984989278056,0.19428162973552537,0.25303788420300216,2.013836112731988,0.44406690760414946,0.23016225794467868,2.5288231920904067,1.4318515631777802,1.0969716289126272
