                                                                                                                                                                     
                                                                                                                                                                     
{'loss': '0.001596', 'grad_norm': '0.04799', 'learning_rate': '8.916e-05', 'entropy': '0.004292', 'num_tokens': '4.724e+05', 'mean_token_accuracy': '0.9995', 'epoch': '1.429'}
{'loss': '0.001855', 'grad_norm': '0.1267', 'learning_rate': '8.867e-05', 'entropy': '0.003398', 'num_tokens': '4.873e+05', 'mean_token_accuracy': '0.9993', 'epoch': '1.476'}
{'loss': '0.001265', 'grad_norm': '0.04961', 'learning_rate': '8.818e-05', 'entropy': '0.003011', 'num_tokens': '4.959e+05', 'mean_token_accuracy': '0.9995', 'epoch': '1.524'}
{'loss': '0.002376', 'grad_norm': '0.07153', 'learning_rate': '8.768e-05', 'entropy': '0.00515', 'num_tokens': '5.188e+05', 'mean_token_accuracy': '0.9995', 'epoch': '1.571'}
{'loss': '0.003472', 'grad_norm': '0.1447', 'learning_rate': '8.719e-05', 'entropy': '0.003568', 'num_tokens': '5.332e+05', 'mean_token_accuracy': '0.9987', 'epoch': '1.619'}
{'loss': '0.00188', 'grad_norm': '0.105', 'learning_rate': '8.67e-05', 'entropy': '0.004663', 'num_tokens': '5.464e+05', 'mean_token_accuracy': '0.9996', 'epoch': '1.667'}
{'loss': '0.003346', 'grad_norm': '0.1025', 'learning_rate': '8.621e-05', 'entropy': '0.004185', 'num_tokens': '5.651e+05', 'mean_token_accuracy': '0.9994', 'epoch': '1.714'}
{'loss': '0.004586', 'grad_norm': '0.1142', 'learning_rate': '8.571e-05', 'entropy': '0.006213', 'num_tokens': '5.836e+05', 'mean_token_accuracy': '0.9985', 'epoch': '1.762'}
{'loss': '0.001389', 'grad_norm': '0.03221', 'learning_rate': '8.522e-05', 'entropy': '0.003974', 'num_tokens': '6.011e+05', 'mean_token_accuracy': '0.9998', 'epoch': '1.81'}
{'loss': '0.002313', 'grad_norm': '0.06147', 'learning_rate': '8.473e-05', 'entropy': '0.00449', 'num_tokens': '6.209e+05', 'mean_token_accuracy': '0.9994', 'epoch': '1.857'}
