_parse_status,num_samples,gt_valid_ratio,pred_valid_ratio,em_ratio,can_smiles_match_ratio,inchikey_match_ratio,tanimoto_sim_mean,tanimoto_sim_std
pred_failed,740.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
success,136.0,1.0,1.0,0.007352941176470588,0.3602941176470588,0.3602941176470588,0.5184085106807911,0.4374408907281122
