output_rep_type,num_samples,gt_valid_ratio,pred_valid_ratio,em_ratio,can_smiles_match_ratio,inchikey_match_ratio,tanimoto_sim_mean,tanimoto_sim_std
can_deepsmiles,219.0,1.0,0.0228310502283105,0.0,0.0228310502283105,0.0228310502283105,0.0228310502283105,0.14970681973610112
can_selfies,219.0,1.0,0.2420091324200913,0.0,0.1278538812785388,0.1278538812785388,0.14322651038322545,0.3476095212034073
can_smiles,219.0,1.0,0.3515981735159817,0.0045662100456621,0.0730593607305936,0.0730593607305936,0.15526766367729625,0.31222108904446866
inchi,219.0,1.0,0.0045662100456621,0.0,0.0,0.0,0.00060882800608828,0.009009831711993144
